                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.092,                 2.9131,                 1.2787,                0.40806,                0.16858,                0.09766,                0.05269,                 2.0543,                 2.1378,                 1.1147,             0.00019316,             0.00019316,             0.00019316
                      2,                 1.9677,                 1.9307,                 1.1169,                0.53994,                0.16706,                0.16908,                0.09759,                 1.9666,                 1.9632,                 1.0865,              0.0003699,              0.0003699,              0.0003699
                      3,                 1.9719,                 1.7538,                 1.0756,                0.59366,                0.21739,                 0.2332,                0.13975,                 1.8915,                 1.6384,                 1.0651,             0.00052723,             0.00052723,             0.00052723
                      4,                 1.9113,                 1.6361,                 1.0656,                0.61715,                 0.2694,                0.27998,                0.17185,                 1.8651,                 1.5578,                  1.045,             0.00050068,             0.00050068,             0.00050068
                      5,                 1.8423,                 1.4981,                 1.0349,                0.53563,                0.32363,                0.32339,                0.20308,                 1.7924,                 1.4533,                 1.0204,             0.00047158,             0.00047158,             0.00047158
                      6,                 1.8329,                 1.4483,                 1.0201,                0.46901,                0.33745,                0.36135,                0.21549,                 1.8395,                 1.4082,                 1.0142,             0.00044247,             0.00044247,             0.00044247
                      7,                 1.7804,                 1.4104,                 1.0125,                0.45773,                0.39397,                0.39226,                0.25203,                 1.7428,                  1.327,                0.99198,             0.00041336,             0.00041336,             0.00041336
                      8,                 1.7674,                 1.3453,                 1.0036,                0.50396,                0.40502,                0.42738,                0.28123,                 1.6946,                 1.2879,                0.98595,             0.00038426,             0.00038426,             0.00038426
                      9,                  1.737,                 1.3062,                0.99715,                0.50077,                0.41268,                0.42583,                0.25432,                 1.8356,                 1.3152,                 1.0099,             0.00035515,             0.00035515,             0.00035515
                     10,                 1.6884,                 1.2487,                0.97926,                0.53782,                0.42601,                0.46424,                0.29106,                 1.6963,                  1.221,                0.97262,             0.00032605,             0.00032605,             0.00032605
                     11,                 1.7723,                 1.3762,                0.99165,                 0.5554,                0.41014,                0.44268,                0.29504,                 1.6603,                 1.2414,                0.96913,             0.00029694,             0.00029694,             0.00029694
                     12,                 1.7125,                 1.2761,                0.97936,                0.59442,                0.42932,                0.46051,                0.28955,                  1.755,                 1.2327,                0.98087,             0.00026783,             0.00026783,             0.00026783
                     13,                 1.7172,                 1.2579,                0.98682,                0.59773,                0.44392,                0.47421,                0.29761,                 1.6903,                 1.2585,                0.96959,             0.00023873,             0.00023873,             0.00023873
                     14,                 1.6668,                 1.2121,                 0.9669,                0.53817,                0.44236,                0.46495,                0.29422,                 1.6837,                 1.2368,                0.96756,             0.00020962,             0.00020962,             0.00020962
                     15,                 1.6791,                 1.1789,                0.96077,                0.60569,                0.45337,                0.49146,                0.32044,                 1.6318,                 1.2095,                0.95498,             0.00018052,             0.00018052,             0.00018052
                     16,                 1.6356,                  1.132,                0.95366,                0.60615,                 0.4861,                0.51707,                0.34914,                 1.5967,                 1.1232,                0.94621,             0.00015141,             0.00015141,             0.00015141
                     17,                 1.6341,                 1.1266,                0.95066,                0.61108,                0.49387,                0.52708,                0.35351,                 1.5761,                  1.134,                0.94236,              0.0001223,              0.0001223,              0.0001223
                     18,                 1.6042,                 1.1029,                0.94233,                0.64166,                0.49747,                0.54074,                0.35762,                  1.588,                 1.1079,                  0.943,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     19,                 1.6098,                 1.0868,                0.93982,                0.66478,                0.47914,                 0.5392,                 0.3586,                 1.5673,                  1.096,                0.93737,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     20,                 1.5936,                 1.0824,                0.94754,                0.60484,                 0.5082,                0.54393,                0.36026,                 1.5925,                 1.0865,                0.94184,             3.4986e-05,             3.4986e-05,             3.4986e-05
